x-axis,1,2,3
second,Volt,Volt,Volt
+48.200E-03,+3.281250E+00,+2.518750E+00,+2.862500E+00
+48.300E-03,+2.937500E+00,+3.081250E+00,+3.331250E+00
+48.400E-03,+2.500000E+00,+3.425000E+00,+3.550000E+00
+48.500E-03,+1.937500E+00,+3.425000E+00,+3.331250E+00
+48.600E-03,+1.593750E+00,+3.081250E+00,+2.800000E+00
+48.700E-03,+1.500000E+00,+2.581250E+00,+2.175000E+00
+48.800E-03,+1.812500E+00,+1.956250E+00,+1.643750E+00
+48.900E-03,+2.281250E+00,+1.550000E+00,+1.393750E+00
+49.000E-03,+2.843750E+00,+1.456250E+00,+1.487500E+00
+49.100E-03,+3.187500E+00,+1.675000E+00,+1.956250E+00
+49.200E-03,+3.281250E+00,+2.206250E+00,+2.518750E+00
+49.300E-03,+3.125000E+00,+2.800000E+00,+3.143750E+00
+49.400E-03,+2.625000E+00,+3.206250E+00,+3.425000E+00
+49.500E-03,+2.093750E+00,+3.362500E+00,+3.425000E+00
+49.600E-03,+1.687500E+00,+3.268750E+00,+3.050000E+00
+49.700E-03,+1.500000E+00,+2.737500E+00,+2.393750E+00
+49.800E-03,+1.718750E+00,+2.206250E+00,+1.831250E+00
+49.900E-03,+2.125000E+00,+1.706250E+00,+1.487500E+00
+50.000E-03,+2.687500E+00,+1.487500E+00,+1.456250E+00
+50.100E-03,+3.156250E+00,+1.612500E+00,+1.831250E+00
+50.200E-03,+3.312500E+00,+2.050000E+00,+2.393750E+00
+50.300E-03,+3.156250E+00,+2.643750E+00,+3.018750E+00
+50.400E-03,+2.750000E+00,+3.112500E+00,+3.393750E+00
+50.500E-03,+2.187500E+00,+3.362500E+00,+3.425000E+00
+50.600E-03,+1.718750E+00,+3.268750E+00,+3.112500E+00
+50.700E-03,+1.468750E+00,+2.800000E+00,+2.581250E+00
+50.800E-03,+1.687500E+00,+2.268750E+00,+1.925000E+00
+50.900E-03,+2.125000E+00,+1.800000E+00,+1.581250E+00
+51.000E-03,+2.593750E+00,+1.550000E+00,+1.518750E+00
+51.100E-03,+3.125000E+00,+1.612500E+00,+1.768750E+00
+51.200E-03,+3.281250E+00,+2.018750E+00,+2.331250E+00
+51.300E-03,+3.187500E+00,+2.612500E+00,+2.956250E+00
+51.400E-03,+2.750000E+00,+3.081250E+00,+3.300000E+00
+51.500E-03,+2.156250E+00,+3.362500E+00,+3.393750E+00
+51.600E-03,+1.718750E+00,+3.237500E+00,+3.081250E+00
+51.700E-03,+1.531250E+00,+2.831250E+00,+2.518750E+00
+51.800E-03,+1.687500E+00,+2.300000E+00,+1.956250E+00
+51.900E-03,+2.156250E+00,+1.800000E+00,+1.581250E+00
+52.000E-03,+2.687500E+00,+1.581250E+00,+1.550000E+00
+52.100E-03,+3.156250E+00,+1.643750E+00,+1.800000E+00
+52.200E-03,+3.312500E+00,+2.081250E+00,+2.393750E+00
+52.300E-03,+3.125000E+00,+2.643750E+00,+2.956250E+00
+52.400E-03,+2.625000E+00,+3.112500E+00,+3.300000E+00
+52.500E-03,+2.093750E+00,+3.331250E+00,+3.331250E+00
+52.600E-03,+1.656250E+00,+3.175000E+00,+2.987500E+00
+52.700E-03,+1.562500E+00,+2.737500E+00,+2.425000E+00
+52.800E-03,+1.781250E+00,+2.175000E+00,+1.893750E+00
+52.900E-03,+2.281250E+00,+1.768750E+00,+1.581250E+00
+53.000E-03,+2.843750E+00,+1.581250E+00,+1.581250E+00
+53.100E-03,+3.250000E+00,+1.800000E+00,+1.956250E+00
+53.200E-03,+3.281250E+00,+2.206250E+00,+2.550000E+00
+53.300E-03,+2.968750E+00,+2.768750E+00,+3.081250E+00
+53.400E-03,+2.437500E+00,+3.175000E+00,+3.331250E+00
+53.500E-03,+1.906250E+00,+3.268750E+00,+3.237500E+00
+53.600E-03,+1.593750E+00,+3.050000E+00,+2.831250E+00
